source_port,target_port,transition_count,unique_vessels
144,21,352,94
21,144,346,95
0,136,86,22
136,0,85,21
136,124,72,16
124,136,71,16
1,107,59,14
107,1,58,14
144,28,53,15
28,144,52,15
9,144,49,10
28,21,46,14
144,9,44,10
48,144,44,17
144,48,43,16
21,28,37,13
2,19,37,11
52,18,36,8
19,2,36,10
18,52,34,9
73,62,31,6
62,73,29,7
60,18,27,11
18,60,26,10
28,132,26,6
144,14,24,7
14,144,23,7
63,162,23,7
184,28,23,11
21,48,22,7
105,28,22,9
48,6,21,4
28,184,21,10
79,48,21,7
6,48,21,4
48,79,21,7
162,63,20,7
28,105,20,9
60,44,19,8
132,28,19,4
92,95,18,2
48,62,18,5
62,48,17,4
95,92,17,2
48,21,17,5
77,107,16,6
66,1,16,3
48,28,16,7
31,66,16,6
28,48,16,7
18,89,16,5
19,18,16,8
83,22,15,4
21,14,15,4
63,48,15,3
184,21,15,3
1,66,15,3
48,63,15,3
44,60,15,7
89,18,14,5
21,184,14,3
27,107,14,3
107,27,14,3
54,136,14,2
215,80,14,4
18,19,14,6
107,77,14,5
14,21,14,4
132,144,13,4
162,48,13,5
22,83,13,4
34,185,13,5
185,34,13,6
136,54,13,2
71,16,13,2
15,17,12,2
68,135,12,1
201,150,12,1
66,31,12,6
19,60,12,9
17,15,12,2
16,71,12,2
80,215,12,4
18,4,12,6
60,42,12,4
61,53,12,2
162,28,12,5
150,201,12,1
42,60,12,4
62,144,12,2
48,162,12,5
135,68,12,1
48,47,12,2
256,227,11,1
125,161,11,2
144,132,11,4
107,33,11,1
144,62,11,2
53,61,11,2
161,125,11,2
28,162,11,5
227,256,11,1
216,98,11,1
66,80,11,4
21,9,11,3
185,178,11,1
191,19,11,4
48,9,11,2
47,48,11,2
9,48,11,2
66,91,10,3
80,66,10,4
219,255,10,2
66,107,10,3
2,60,10,4
184,105,10,3
178,185,10,1
98,216,10,1
44,18,10,5
9,21,10,3
50,80,10,1
144,273,10,1
140,71,10,3
107,31,10,4
232,125,10,4
71,140,9,3
226,155,9,1
80,50,9,1
255,219,9,2
132,21,9,2
125,232,9,4
241,69,9,2
37,19,9,4
140,48,9,2
105,184,9,3
33,107,9,1
60,19,9,6
33,66,9,2
166,239,9,2
4,18,9,4
273,144,9,1
14,9,9,2
239,166,9,2
66,136,9,2
17,25,9,4
66,33,9,2
193,0,9,3
19,37,9,4
155,226,9,1
99,101,9,1
31,107,9,3
131,71,8,1
0,193,8,2
48,14,8,3
96,80,8,2
21,132,8,2
125,243,8,3
110,4,8,3
107,66,8,2
136,66,8,3
136,193,8,1
25,17,8,4
60,2,8,4
101,99,8,1
183,44,8,5
19,191,8,3
91,66,8,3
48,140,8,2
71,131,8,1
80,96,8,2
69,241,8,2
215,50,8,2
50,215,8,2
18,44,7,4
209,162,7,1
94,45,7,3
18,104,7,3
0,124,7,2
14,48,7,3
65,4,7,6
9,14,7,2
117,39,7,2
124,0,7,2
44,138,7,1
243,125,7,3
263,56,7,1
4,238,7,2
4,65,7,4
112,229,7,2
131,37,7,1
44,183,7,4
104,18,7,3
144,184,7,3
39,117,7,2
