source_port,target_port,transition_count,unique_vessels
28,184,356,94
184,28,352,95
175,0,79,21
0,175,75,21
159,175,70,16
175,159,69,16
2,114,59,15
114,2,59,15
184,61,56,19
35,184,54,15
184,35,54,15
184,15,49,10
15,184,48,10
61,184,47,19
25,67,42,10
67,25,41,10
28,35,37,13
26,3,35,10
29,93,35,7
35,28,34,13
93,29,34,7
3,26,33,10
34,2,29,8
61,1,29,9
25,77,29,11
218,79,27,8
77,25,27,12
2,34,27,8
79,218,25,7
1,61,25,8
35,203,24,10
35,169,23,5
114,97,23,7
21,184,23,7
61,9,22,4
97,114,22,6
203,35,22,9
184,21,22,7
169,35,22,5
9,61,21,4
77,59,21,8
61,29,19,4
61,35,19,8
61,28,19,7
112,25,18,5
134,35,18,8
28,21,18,4
21,28,18,4
35,134,18,8
29,61,18,4
203,28,17,3
28,61,17,7
35,61,17,6
7,105,17,4
28,203,16,3
25,26,16,9
82,39,16,6
59,77,16,7
61,218,16,5
57,77,16,5
25,112,16,5
218,61,16,5
39,82,15,6
82,2,15,3
77,57,15,5
26,25,15,8
120,320,15,4
82,114,15,6
105,7,15,4
118,115,15,2
115,118,15,2
77,26,14,6
5,25,14,5
320,120,14,4
22,24,14,2
34,114,14,3
25,5,14,5
61,63,14,2
63,61,14,2
114,34,14,3
24,22,14,2
15,28,14,5
2,82,13,3
42,254,13,6
254,42,13,6
39,114,13,5
114,82,13,5
169,184,13,4
277,191,12,1
70,175,12,2
26,77,12,7
184,29,12,2
175,70,12,2
59,177,12,1
114,39,12,5
59,25,12,4
191,277,12,1
175,82,12,4
23,90,12,2
29,184,12,2
90,23,11,2
310,367,11,1
303,363,11,2
68,248,11,2
65,2,11,4
35,218,11,5
15,61,11,2
177,59,11,1
32,24,11,4
205,26,11,3
367,310,11,1
2,65,11,4
363,303,10,2
0,265,10,3
199,23,10,2
28,15,10,3
24,32,10,4
23,199,10,2
25,59,10,5
214,26,10,4
69,78,10,2
61,21,10,3
124,299,10,1
82,34,10,5
78,69,10,2
265,0,10,3
339,87,10,2
120,217,10,2
248,68,10,2
253,59,10,5
299,124,10,1
43,173,10,1
21,61,10,3
217,120,10,2
173,43,9,1
66,81,9,4
61,179,9,2
34,82,9,3
28,169,9,2
145,54,9,2
51,26,9,4
41,82,9,2
218,35,9,5
54,145,9,2
254,245,9,1
134,203,9,3
59,5,9,3
61,83,9,2
61,15,9,2
41,114,9,2
203,134,9,3
87,339,9,2
65,34,8,1
21,126,8,3
15,21,8,2
179,61,8,2
179,90,8,3
21,15,8,2
90,179,8,2
2,39,8,2
26,214,8,3
5,59,8,3
168,90,8,1
289,218,8,1
227,336,8,2
60,117,8,3
82,175,8,3
79,61,8,3
336,227,8,2
59,253,8,3
295,204,8,1
114,41,8,2
44,104,8,2
218,289,8,1
61,79,8,3
245,254,8,1
82,41,8,1
374,72,8,1
81,5,7,5
376,61,7,1
388,184,7,1
11,158,7,1
158,11,7,1
126,21,7,3
117,60,7,3
77,3,7,3
3,77,7,4
125,127,7,1
265,175,7,1
140,313,7,2
26,51,7,4
72,374,7,1
204,295,7,1
184,169,7,3
83,61,7,2
3,205,7,2
34,65,7,1
28,134,7,3
5,66,7,2
5,81,7,5
90,168,7,1
184,388,7,1
60,7,7,2
218,9,7,2
108,0,7,2
179,3,7,3
61,376,7,1
5,332,7,2
313,140,7,2
175,265,7,1
177,332,7,1
9,93,6,3
9,218,6,2
9,96,6,1
332,230,6,1
332,177,6,1
3,179,6,3
199,90,6,1
203,184,6,2
184,203,6,3
0,159,6,2
0,108,6,2
320,345,6,2
332,5,6,1
134,28,6,3
75,175,6,1
203,302,6,1
28,126,6,3
26,218,6,2
26,205,6,2
96,9,6,1
230,332,6,1
5,138,6,4
218,134,6,1
66,5,6,2
104,44,6,1
294,3,6,1
23,42,6,2
159,0,6,2
51,168,6,1
302,203,6,1
345,120,6,3
134,218,6,1
118,369,6,1
5,118,5,1
87,11,5,1
90,199,5,1
29,15,5,1
29,235,5,1
184,17,5,1
35,15,5,2
32,34,5,1
28,218,5,2
1,117,5,2
369,118,5,1
3,294,5,1
63,85,5,1
97,41,5,2
218,28,5,2
218,26,5,2
175,297,5,1
175,75,5,1
117,1,5,2
62,260,5,1
42,23,5,2
51,23,5,1
39,2,5,2
168,51,5,1
39,175,5,2
218,184,5,3
112,57,5,1
7,60,5,2
23,51,5,1
15,29,5,1
17,184,5,1
15,35,5,2
133,25,5,3
134,184,5,1
57,171,5,1
57,112,5,1
127,125,5,1
129,179,5,1
126,28,5,2
138,59,5,2
137,78,5,1
138,5,5,2
118,5,5,1
129,342,5,1
78,137,5,1
120,345,5,3
315,179,5,1
81,66,5,2
336,188,5,1
345,320,5,2
3,25,4,2
2,227,4,1
342,129,4,1
81,59,4,2
370,65,4,1
326,134,4,1
82,190,4,2
77,179,4,2
77,5,4,1
0,360,4,2
126,15,4,2
11,87,4,1
9,28,4,1
260,62,4,1
254,179,4,2
129,25,4,1
128,294,4,1
127,172,4,1
61,7,4,3
59,171,4,1
59,138,4,1
140,87,4,1
135,355,4,1
134,326,4,1
134,61,4,2
132,380,4,1
61,93,4,1
61,207,4,1
41,97,4,2
41,65,4,1
41,40,4,1
144,308,4,1
51,90,4,1
175,39,4,2
40,41,4,1
38,206,4,1
35,382,4,1
171,57,4,1
169,28,4,2
168,28,4,1
164,204,4,1
112,239,4,1
112,56,4,1
308,144,4,1
297,175,4,1
7,35,4,1
179,26,4,1
235,29,4,1
227,175,4,1
15,126,4,2
227,2,4,1
179,315,4,1
179,254,4,2
179,129,4,1
21,186,4,1
21,35,4,2
65,370,4,1
65,82,4,1
103,127,4,1
72,407,4,1
207,61,4,1
206,38,4,1
184,134,4,1
35,21,4,2
35,7,4,1
34,32,4,1
184,218,4,3
26,179,4,2
25,129,4,1
214,77,4,2
1,63,4,2
204,164,4,1
25,133,4,1
190,82,4,2
188,336,4,1
