source_port,target_port,transition_count,unique_vessels
651,185,6,6
90,302,6,6
62,181,5,5
55,1437,5,5
26,371,4,4
9,443,4,4
1251,951,4,4
651,265,4,4
28,524,4,1
81,1672,4,4
9,109,4,1
3,958,4,4
278,22,4,4
870,9,3,3
27,1654,3,3
720,249,3,3
35,129,3,3
28,175,3,3
669,19,3,3
50,185,3,3
536,951,3,3
585,278,3,3
614,359,3,3
1251,391,3,3
951,1251,3,3
1789,2,3,1
20,121,3,3
1129,3,3,3
13,175,3,3
1167,9,3,3
1770,219,3,2
109,26,3,2
269,147,3,3
175,13,3,3
253,268,3,3
1730,302,3,3
1507,227,3,3
117,9,3,3
274,557,3,3
491,348,3,3
378,9,3,3
65,1508,3,3
79,330,3,3
214,102,3,3
1159,1167,2,2
39,518,2,2
750,159,2,2
17,19,2,1
19,17,2,1
26,109,2,2
26,104,2,1
1024,149,2,2
996,118,2,2
987,152,2,2
951,536,2,2
9,378,2,2
1357,952,2,2
1361,1159,2,2
1981,9,2,2
9,648,2,2
1159,9,2,2
1220,89,2,2
1334,252,2,2
517,35,2,2
517,1251,2,2
518,39,2,2
557,27,2,2
57,132,2,2
603,799,2,1
585,3,2,2
62,680,2,2
645,31,2,2
595,226,2,2
740,266,2,2
35,517,2,2
31,1567,2,1
32,286,2,2
648,9,2,2
647,328,2,2
680,62,2,2
399,2,2,2
102,214,2,2
87,233,2,2
379,521,2,2
391,1251,2,2
391,226,2,2
391,595,2,2
128,151,2,2
79,436,2,2
436,79,2,2
441,187,2,2
104,26,2,1
109,9,2,1
443,9,2,2
482,944,2,2
286,62,2,2
285,1764,2,2
302,1730,2,2
288,1177,2,1
109,77,2,2
371,26,2,2
348,491,2,2
233,1261,2,2
152,300,2,2
226,14,2,2
134,110,2,2
147,295,2,2
132,57,2,2
231,670,2,2
268,253,2,2
264,2,2,2
170,609,2,1
181,22,2,2
185,296,2,2
167,0,2,2
1654,27,2,2
1593,9,2,2
1508,510,2,2
169,803,2,2
1443,448,2,2
3,1129,2,2
2,1789,2,1
2,1778,2,1
2,264,2,2
0,1168,2,2
0,1013,2,2
0,417,2,2
0,237,1,1
0,756,1,1
1,20,1,1
1,308,1,1
2,109,1,1
3,301,1,1
3,585,1,1
3,889,1,1
1457,600,1,1
1465,1481,1,1
1481,1465,1,1
1489,786,1,1
1507,118,1,1
1518,715,1,1
1521,325,1,1
1583,987,1,1
1635,829,1,1
1698,207,1,1
159,750,1,1
175,28,1,1
181,62,1,1
194,11,1,1
199,592,1,1
206,485,1,1
206,1168,1,1
207,1698,1,1
208,688,1,1
130,1380,1,1
