source_port,target_port,transition_count,unique_vessels
225,274,6,6
12,53,6,1
61,1093,5,5
0,104,5,5
53,12,5,1
190,49,5,5
856,12,5,5
898,3,5,5
3,898,4,4
278,0,4,4
245,298,4,4
18,927,4,1
80,1269,4,4
88,12,4,4
190,789,4,4
79,299,3,3
182,26,3,3
110,7,3,3
53,17,3,2
285,177,3,3
34,188,3,3
7,514,3,3
24,119,3,3
194,199,3,3
99,1258,3,3
392,99,3,3
425,239,3,3
497,140,3,3
514,256,3,3
1312,274,3,3
117,1367,2,2
7,19,2,2
122,617,2,1
298,245,2,2
258,1338,2,2
7,592,2,2
217,103,2,2
7,876,2,2
7,968,2,2
260,238,2,2
61,283,2,2
127,928,2,2
128,63,2,2
12,382,2,2
129,106,2,2
12,970,2,2
63,128,2,2
345,12,2,2
386,173,2,2
140,167,2,2
17,53,2,2
17,102,2,1
67,1373,2,2
262,939,2,1
268,201,2,2
18,918,2,2
334,12,2,2
85,305,2,2
22,28,2,1
22,38,2,2
378,285,2,2
104,26,2,2
239,425,2,2
199,194,2,2
0,260,2,2
28,22,2,1
0,278,2,2
201,103,2,2
161,113,2,2
36,122,2,2
102,17,2,1
156,0,2,2
37,1193,2,1
103,396,2,2
274,1312,2,2
353,2,2,2
425,228,2,2
3,182,2,2
467,111,2,2
491,12,2,2
114,18,2,2
3,1102,2,2
526,139,2,2
534,295,2,2
611,539,2,2
617,122,2,1
630,278,2,2
631,319,2,2
649,49,2,2
660,335,2,2
676,856,2,2
689,12,2,2
738,501,2,2
769,217,2,2
789,3,2,2
247,125,2,2
864,74,2,2
278,630,2,2
903,211,2,2
948,364,2,2
958,87,2,2
999,878,2,2
1024,227,2,2
1057,86,2,2
1088,699,2,2
1101,394,2,2
1113,361,2,2
1126,408,2,2
1197,747,2,2
1205,1325,2,2
1246,1205,2,2
1258,99,2,2
1291,144,2,2
329,1198,2,2
1321,1363,2,2
1512,886,2,2
1572,1126,2,1
27,313,1,1
28,903,1,1
32,204,1,1
1426,888,1,1
36,271,1,1
36,575,1,1
38,22,1,1
38,273,1,1
40,441,1,1
40,591,1,1
41,170,1,1
42,547,1,1
42,1144,1,1
43,600,1,1
43,1223,1,1
44,889,1,1
46,1620,1,1
47,265,1,1
49,649,1,1
49,733,1,1
53,2,1,1
53,142,1,1
55,174,1,1
57,718,1,1
58,176,1,1
58,1185,1,1
59,1028,1,1
60,88,1,1
62,230,1,1
62,1202,1,1
63,18,1,1
63,449,1,1
63,518,1,1
67,12,1,1
71,534,1,1
77,142,1,1
77,324,1,1
77,679,1,1
87,46,1,1
87,1077,1,1
88,60,1,1
91,930,1,1
99,31,1,1
103,201,1,1
104,0,1,1
106,129,1,1
107,1197,1,1
111,113,1,1
112,322,1,1
113,161,1,1
113,467,1,1
116,350,1,1
117,612,1,1
117,1168,1,1
118,12,1,1
122,1067,1,1
123,328,1,1
123,1070,1,1
126,71,1,1
127,0,1,1
133,336,1,1
138,1545,1,1
142,77,1,1
144,140,1,1
144,497,1,1
144,1291,1,1
145,28,1,1
146,504,1,1
147,404,1,1
149,102,1,1
151,1132,1,1
157,67,1,1
159,12,1,1
160,1180,1,1
163,266,1,1
163,1561,1,1
166,745,1,1
167,531,1,1
172,521,1,1
172,1094,1,1
173,654,1,1
174,55,1,1
175,376,1,1
176,58,1,1
177,742,1,1
178,451,1,1
179,79,1,1
182,3,1,1
187,246,1,1
187,613,1,1
187,928,1,1
188,814,1,1
188,1129,1,1
196,88,1,1
203,791,1,1
208,564,1,1
209,1455,1,1
211,28,1,1
211,903,1,1
212,7,1,1
212,1323,1,1
216,36,1,1
216,94,1,1
226,1323,1,1
227,656,1,1
231,187,1,1
234,788,1,1
238,0,1,1
238,581,1,1
241,3,1,1
242,379,1,1
243,1130,1,1
249,26,1,1
251,12,1,1
254,11,1,1
256,235,1,1
261,1457,1,1
272,1370,1,1
272,1394,1,1
278,165,1,1
284,358,1,1
287,340,1,1
294,16,1,1
294,573,1,1
295,88,1,1
295,534,1,1
297,780,1,1
298,392,1,1
305,85,1,1
305,1321,1,1
313,110,1,1
314,594,1,1
317,7,1,1
319,617,1,1
319,1146,1,1
319,1500,1,1
322,352,1,1
324,981,1,1
327,624,1,1
328,123,1,1
329,201,1,1
330,17,1,1
335,523,1,1
336,133,1,1
352,1062,1,1
353,1269,1,1
359,157,1,1
360,5,1,1
362,943,1,1
364,472,1,1
366,631,1,1
369,443,1,1
375,716,1,1
379,611,1,1
382,12,1,1
230,552,1,1
387,926,1,1
1341,926,1,1
398,195,1,1
401,379,1,1
404,941,1,1
408,1062,1,1
424,226,1,1
0,100,1,1
0,581,1,1
427,426,1,1
431,6,1,1
435,0,1,1
436,27,1,1
441,40,1,1
441,359,1,1
443,369,1,1
444,708,1,1
446,909,1,1
447,154,1,1
451,178,1,1
453,7,1,1
464,662,1,1
465,1064,1,1
1,24,1,1
467,113,1,1
472,398,1,1
483,7,1,1
490,117,1,1
1,282,1,1
496,1530,1,1
2,53,1,1
501,738,1,1
502,353,1,1
502,607,1,1
504,18,1,1
504,25,1,1
504,146,1,1
507,582,1,1
2,1410,1,1
519,1539,1,1
523,1258,1,1
525,599,1,1
2,1566,1,1
529,375,1,1
531,37,1,1
531,167,1,1
3,789,1,1
535,227,1,1
537,211,1,1
540,845,1,1
543,12,1,1
544,7,1,1
546,1058,1,1
547,87,1,1
555,1136,1,1
569,487,1,1
572,638,1,1
573,294,1,1
573,1264,1,1
581,435,1,1
582,790,1,1
588,708,1,1
591,40,1,1
591,552,1,1
592,7,1,1
594,652,1,1
595,443,1,1
599,525,1,1
607,502,1,1
610,1279,1,1
611,379,1,1
0,97,1,1
612,537,1,1
5,1001,1,1
617,366,1,1
627,43,1,1
6,85,1,1
6,1076,1,1
632,12,1,1
635,446,1,1
637,861,1,1
638,245,1,1
641,753,1,1
641,1208,1,1
646,360,1,1
7,110,1,1
652,594,1,1
653,444,1,1
7,116,1,1
670,254,1,1
7,212,1,1
7,226,1,1
689,1338,1,1
695,17,1,1
700,7,1,1
702,546,1,1
706,108,1,1
706,369,1,1
708,588,1,1
709,434,1,1
711,234,1,1
714,1537,1,1
716,653,1,1
718,57,1,1
723,679,1,1
724,478,1,1
728,296,1,1
736,19,1,1
7,313,1,1
738,555,1,1
738,1268,1,1
738,1383,1,1
745,166,1,1
747,107,1,1
747,1279,1,1
762,1228,1,1
7,483,1,1
7,700,1,1
790,582,1,1
795,1022,1,1
804,1376,1,1
806,7,1,1
809,569,1,1
810,36,1,1
813,566,1,1
814,188,1,1
819,7,1,1
824,34,1,1
845,342,1,1
851,1068,1,1
851,1197,1,1
854,314,1,1
854,795,1,1
7,940,1,1
7,1446,1,1
876,226,1,1
878,856,1,1
879,1260,1,1
883,49,1,1
884,175,1,1
886,988,1,1
896,560,1,1
12,73,1,1
12,88,1,1
903,1408,1,1
904,372,1,1
923,7,1,1
926,969,1,1
927,18,1,1
928,187,1,1
931,3,1,1
941,1151,1,1
946,314,1,1
12,159,1,1
12,334,1,1
962,51,1,1
968,7,1,1
972,1355,1,1
974,1202,1,1
981,1006,1,1
984,1390,1,1
12,669,1,1
1000,848,1,1
1005,152,1,1
1018,89,1,1
1022,795,1,1
12,1212,1,1
1037,282,1,1
1040,1262,1,1
1044,1273,1,1
1045,705,1,1
1048,1240,1,1
1051,265,1,1
12,1403,1,1
1068,851,1,1
1069,7,1,1
1071,325,1,1
1073,1281,1,1
1083,12,1,1
1083,1610,1,1
1087,192,1,1
12,1418,1,1
1093,61,1,1
1094,1145,1,1
16,294,1,1
1102,3,1,1
17,330,1,1
17,695,1,1
1129,1215,1,1
1132,151,1,1
1148,1096,1,1
1150,1014,1,1
1154,12,1,1
1154,1267,1,1
1158,110,1,1
1162,589,1,1
1163,1025,1,1
1165,293,1,1
1174,1352,1,1
1184,1228,1,1
1185,1134,1,1
18,114,1,1
1197,851,1,1
1199,810,1,1
1201,595,1,1
1202,62,1,1
1205,1246,1,1
18,894,1,1
1206,1414,1,1
1207,331,1,1
1207,1392,1,1
1212,12,1,1
1216,1245,1,1
1218,901,1,1
1221,7,1,1
1228,1184,1,1
1231,151,1,1
1231,1068,1,1
1234,214,1,1
1246,88,1,1
18,965,1,1
18,1371,1,1
1264,573,1,1
1264,732,1,1
1268,953,1,1
1270,579,1,1
1275,12,1,1
1278,113,1,1
1279,747,1,1
1282,659,1,1
1283,168,1,1
19,7,1,1
1300,280,1,1
1303,1101,1,1
21,1321,1,1
24,1,1,1
1323,212,1,1
1325,218,1,1
1328,1261,1,1
1338,258,1,1
1426,382,1,1
1345,1430,1,1
1352,288,1,1
1361,771,1,1
1363,1050,1,1
1371,63,1,1
1374,1582,1,1
1376,458,1,1
1383,1278,1,1
1390,658,1,1
1402,38,1,1
1408,627,1,1
1408,903,1,1
1413,36,1,1
1418,535,1,1
0,26,1,1
1608,754,1,1
1441,324,1,1
1444,236,1,1
1445,1249,1,1
1446,424,1,1
1453,1039,1,1
1463,454,1,1
1472,18,1,1
25,18,1,1
1530,155,1,1
1533,877,1,1
1543,430,1,1
1566,2,1,1
26,0,1,1
1582,1374,1,1
3,1187,1,1
