MMSI,trajectory_id,feature_order,feature_idx_in_traj,LON,LAT,gamma
11,11_0,0,0,-90.96784,27.29228,0.05
11,11_0,1,4,-90.96786,27.29227,0.05
12,12_0,0,0,-90.13396,29.55863,0.05
12,12_0,1,11,-90.13383,29.55708,0.05
18,18_0,0,0,-97.23631,27.85054,0.05
18,18_0,1,31,-97.2363,27.85056,0.05
737255,737255_0,0,0,-80.18391,26.08582,0.05
737255,737255_0,1,12,-80.18391,26.08583,0.05
1056261,1056261_0,0,0,-80.14815,26.11822,0.05
1056261,1056261_0,1,68,-80.14817,26.11821,0.05
1193046,1193046_0,0,0,-90.71333,29.55923,0.05
1193046,1193046_0,1,33,-90.71333,29.55923,0.05
3660489,3660489_0,0,0,-89.9243,27.3702,0.05
3660489,3660489_0,1,17,-89.92428,27.37022,0.05
3660503,3660503_0,0,0,-90.64797,27.79525,0.05
3660503,3660503_0,1,22,-90.64792,27.79527,0.05
3660512,3660512_0,0,0,-94.89835,26.12938,0.05
3660512,3660512_0,1,5,-94.89834,26.12937,0.05
3660524,3660524_0,0,0,-89.23912,28.15979,0.05
3660524,3660524_0,1,18,-89.239,28.15979,0.05
3791472,3791472_0,0,0,-92.04053,26.1321,0.05
3791472,3791472_0,1,4,-92.04052,26.13215,0.05
12345678,12345678_0,0,0,-90.5406,30.05202,0.05
12345678,12345678_0,1,60,-90.54059,30.05203,0.05
121776489,121776489_0,0,0,-97.01388,28.01736,0.05
121776489,121776489_0,1,4,-97.06149,27.83921,0.05
121776489,121776489_0,2,8,-97.03171,27.99775,0.05
123456789,123456789_0,0,0,-88.58018,30.34878,0.05
123456789,123456789_0,1,10,-80.11864,26.1,0.05
123456789,123456789_0,2,34,-88.58017,30.34879,0.05
155017179,155017179_0,0,0,-80.2304,25.73066,0.05
155017179,155017179_0,1,37,-80.2304,25.73066,0.05
200000000,200000000_0,0,0,-90.53181,29.55385,0.05
200000000,200000000_0,1,55,-90.53181,29.55386,0.05
205670000,205670000_0,0,0,-79.8549,24.49008,0.05
205670000,205670000_0,1,7,-79.65068,24.58882,0.05
205670000,205670000_0,2,8,-79.90988,24.4634,0.05
205670000,205670000_0,3,11,-79.85804,24.48871,0.05
207832820,207832820_0,0,0,-80.14134,25.77177,0.05
207832820,207832820_0,1,40,-80.14134,25.77177,0.05
209017000,209017000_0,0,0,-89.43147,28.90221,0.05
209017000,209017000_0,1,4,-89.43691,28.81409,0.05
209017000,209017000_0,2,6,-89.41278,28.92821,0.05
209017000,209017000_0,3,8,-90.43995,29.99735,0.05
209017000,209017000_0,4,12,-89.40112,28.74721,0.05
209017000,209017000_0,5,22,-90.43994,29.9975,0.05
209017000,209017000_0,6,25,-90.58453,30.05341,0.05
209017000,209017000_0,7,34,-89.32571,28.65076,0.05
209017000,209017000_0,8,36,-89.28102,29.08965,0.05
209017000,209017000_0,9,39,-90.58451,30.05342,0.05
209017000,209017000_0,10,42,-89.3968,28.95217,0.05
209087000,209087000_0,0,0,-89.43207,28.86742,0.05
209087000,209087000_0,1,5,-89.57191,28.67986,0.05
209087000,209087000_0,2,6,-93.29636,28.48047,0.05
209087000,209087000_0,3,13,-93.4128,28.55066,0.05
209087000,209087000_0,4,14,-90.1085,29.91156,0.05
209087000,209087000_0,5,15,-89.43207,28.86742,0.05
209087000,209087000_0,6,16,-90.10853,29.91156,0.05
209087000,209087000_0,7,17,-93.51694,28.61853,0.05
209087000,209087000_0,8,27,-95.00455,29.61273,0.05
