source_port,target_port,transition_count,unique_vessels
19,71,325,97
71,19,306,87
58,51,255,88
51,58,253,83
51,173,190,83
173,51,184,72
89,58,179,64
58,89,173,58
51,89,164,60
89,51,146,57
42,51,109,42
51,42,86,38
173,58,80,36
71,182,75,28
58,173,69,32
19,38,68,27
182,71,67,28
38,19,67,27
97,85,61,26
19,51,58,26
89,173,58,30
85,97,58,28
173,89,55,30
210,58,52,19
51,19,51,22
31,19,49,20
19,537,49,18
58,210,49,22
537,19,48,17
206,51,47,26
19,164,47,19
51,206,46,27
19,338,45,12
338,19,45,11
51,39,43,20
89,19,43,19
164,19,42,21
19,58,42,17
19,385,42,17
19,89,41,16
19,31,41,16
97,42,41,17
58,19,39,20
42,97,39,15
210,51,38,24
19,55,37,16
385,19,36,16
19,219,36,18
219,19,36,18
39,42,35,16
39,51,35,17
89,428,35,14
51,210,33,21
42,39,32,16
51,97,32,14
19,124,31,20
51,635,31,18
51,431,30,14
55,19,30,16
635,51,29,16
428,89,29,14
58,124,29,11
385,375,28,14
286,36,28,10
36,286,27,7
506,97,27,9
584,212,27,3
212,584,27,3
124,89,27,17
89,210,27,14
97,51,27,12
124,19,27,17
51,382,27,12
42,89,27,10
169,19,26,14
563,1328,26,5
89,124,26,15
85,957,26,6
222,71,26,14
431,51,26,15
71,222,26,18
173,42,26,13
97,506,26,9
382,51,26,9
1328,563,25,4
159,1504,25,6
58,42,24,12
433,97,24,7
89,42,24,8
21,150,24,8
375,385,24,12
150,21,24,8
101,19,24,11
957,85,24,6
97,433,24,7
97,39,23,11
42,173,23,11
64,19,23,7
210,89,23,11
124,58,23,9
21,19,23,6
42,58,22,9
550,51,22,9
182,222,22,11
51,792,22,6
141,58,22,10
141,552,21,8
659,19,21,9
19,64,21,7
89,57,21,6
58,141,21,11
57,89,20,5
222,182,20,11
182,19,20,13
55,38,20,8
89,216,20,6
19,184,20,9
19,92,20,14
552,141,20,6
1504,159,20,7
792,51,20,6
26,1024,19,12
19,24,19,5
19,21,19,6
535,89,19,8
58,216,19,11
92,19,19,15
19,101,19,9
89,169,19,10
51,550,19,9
39,97,19,10
19,182,18,10
1601,71,18,8
184,19,18,10
412,58,18,11
55,375,18,6
216,89,18,5
375,55,18,7
15,19,18,13
588,31,18,5
38,55,18,9
169,124,18,13
19,150,17,6
19,169,17,10
89,535,17,7
99,150,17,7
71,1601,17,8
38,219,17,11
19,659,17,7
51,216,17,9
35,375,17,9
1024,26,17,11
431,173,16,13
385,89,16,8
124,169,16,13
691,55,16,6
696,1813,16,2
1813,696,16,2
24,19,16,5
375,19,16,10
31,588,16,5
375,124,16,5
19,691,16,7
89,385,16,7
124,375,16,5
19,375,16,11
58,375,16,5
91,58,16,10
116,19,16,9
51,57,16,6
19,116,15,9
71,81,15,10
216,19,15,7
116,537,15,9
552,58,15,10
746,51,15,5
173,210,15,11
173,431,15,14
375,35,15,10
216,51,15,7
219,38,15,11
51,746,15,5
81,71,15,11
169,89,15,9
156,19,15,4
164,537,15,12
182,58,14,7
585,36,14,12
19,286,14,10
134,19,14,6
385,182,14,7
54,55,14,6
537,164,14,11
85,1185,14,5
71,124,14,7
19,303,14,10
896,34,14,10
552,32,14,7
635,173,14,10
216,58,14,7
286,19,14,11
58,635,14,6
19,156,14,5
635,228,14,12
150,19,14,6
185,26,14,5
266,26,13,4
431,89,13,9
26,266,13,4
787,5,13,4
34,896,13,10
32,552,13,7
26,2157,13,3
55,691,13,5
58,182,13,6
312,375,13,4
51,358,13,3
51,26,13,3
97,561,13,5
89,431,13,9
635,58,13,8
71,51,13,8
2157,26,13,3
731,19,13,2
169,51,13,7
105,5,13,4
19,134,13,5
124,71,13,10
51,356,13,5
537,116,13,9
375,58,13,4
561,97,13,5
58,412,12,11
375,312,12,3
72,26,12,2
26,185,12,4
691,19,12,6
659,459,12,2
31,191,12,6
287,150,12,6
1185,85,12,5
19,731,12,2
26,72,12,2
2073,76,12,5
26,51,12,3
150,99,12,4
191,31,12,8
1520,19,12,9
534,19,12,8
5,787,12,3
76,2073,12,5
55,54,12,5
459,659,12,2
51,71,12,8
652,166,12,3
182,385,12,6
19,52,12,5
550,42,12,8
550,39,12,5
209,71,12,6
42,85,12,6
57,19,12,7
659,89,11,6
31,38,11,2
5,105,11,3
356,51,11,5
26,1670,11,2
159,19,11,5
19,36,11,8
36,19,11,8
358,51,11,3
42,550,11,8
19,15,11,7
830,39,11,9
182,51,11,5
210,431,11,9
89,659,11,7
89,635,11,6
113,85,11,4
173,635,11,9
870,51,11,3
197,12,11,4
38,375,11,7
19,540,11,8
51,870,11,3
540,19,11,7
303,19,11,8
19,534,11,6
58,91,11,6
58,431,11,8
375,71,10,8
26,249,10,4
385,71,10,7
52,19,10,5
51,1116,10,6
1450,97,10,1
2266,19,10,3
58,38,10,5
58,552,10,9
58,4,10,6
71,385,10,8
1340,19,10,1
85,1901,10,1
71,156,10,4
51,628,10,3
5,1493,10,4
412,51,10,9
228,51,10,10
228,635,10,8
159,301,10,3
124,659,10,5
659,124,10,4
659,975,10,2
1501,159,10,4
15,1196,10,8
166,652,10,3
123,97,10,3
51,385,10,6
1493,5,10,4
51,169,10,5
124,51,10,6
19,173,10,6
97,1450,10,1
19,310,10,4
963,430,10,6
540,289,10,8
1670,26,10,2
249,26,10,4
222,19,10,6
32,141,10,10
4,659,10,10
36,585,10,8
431,210,10,9
210,635,10,10
210,173,10,9
606,1095,10,3
182,1601,10,5
89,177,9,5
984,55,9,6
51,659,9,6
51,973,9,4
26,30,9,3
5,84,9,3
375,1340,9,3
385,51,9,6
76,1281,9,5
85,42,9,4
85,51,9,5
19,1520,9,7
1281,76,9,6
375,38,9,5
375,89,9,5
57,51,9,3
55,984,9,6
19,1487,9,3
58,126,9,7
81,182,9,7
635,210,9,9
1601,182,9,5
1599,5,9,2
51,124,9,6
159,1501,9,3
141,32,9,8
150,287,9,7
150,709,9,2
19,57,9,4
975,659,9,3
19,289,9,5
19,216,9,5
106,12,9,5
51,412,9,8
19,159,9,4
19,2266,9,2
238,89,9,4
5,1599,9,2
38,31,9,3
42,210,9,6
216,71,9,2
659,4,9,8
177,89,9,7
216,173,9,4
301,159,9,3
5,1287,9,4
228,58,9,7
522,51,9,4
36,31,9,3
431,58,9,7
31,723,9,4
4,58,9,4
385,55,8,3
