source_port,target_port,transition_count,unique_vessels
3,5,74,23
3,7,72,19
5,3,72,24
7,3,68,18
3,0,54,17
0,3,54,17
16,28,17,2
14,16,16,3
28,16,16,2
16,14,15,3
7,0,14,7
0,7,13,6
11,16,10,3
11,3,10,3
16,11,10,3
3,11,10,3
3,18,10,2
18,3,9,2
24,14,9,2
14,24,9,2
3,16,8,4
16,3,8,4
11,12,8,1
12,11,7,1
16,24,6,1
24,16,5,1
3,22,5,2
12,3,5,1
28,3,4,1
3,12,4,1
3,28,4,1
3,10,3,1
14,11,3,1
22,3,3,2
16,1,3,2
11,7,2,1
16,7,2,1
7,11,2,1
1,16,2,2
7,16,2,1
12,14,2,1
11,14,2,1
10,3,2,1
18,7,2,1
14,12,2,1
5,10,1,1
3,8,1,1
8,3,1,1
7,18,1,1
10,5,1,1
29,16,1,1
