trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
243,1400,1e-05,4,,0.021110699977725744,35881,1.0,0.0,650,79,1757,0.04896742008305231,55.20153846153846,14.0,1654,6210,0.9891728033811131,357.89453125
241,1400,5e-06,4,,0.021303699992131442,35881,1.0,0.0,650,79,1757,0.04896742008305231,55.20153846153846,14.0,1654,6210,0.9891635500178155,357.828125
245,1400,2e-05,4,,0.022314000001642853,35881,1.0,0.0,650,79,1757,0.04896742008305231,55.20153846153846,14.0,1654,6210,0.9891151683151777,357.90234375
247,1400,3e-05,4,,0.01962219999404624,35881,0.9960703436359076,0.003929656364092371,620,78,1757,0.0491606043648573,57.645161290322584,16.0,1586,6121,0.9882232360852157,356.81640625
249,1400,5e-05,4,,0.019856699975207448,35881,0.9960703436359076,0.003929656364092371,620,78,1757,0.0491606043648573,57.645161290322584,16.0,1586,6121,0.9882119606223124,356.81640625
251,1400,8e-05,4,,0.02108629996655509,35881,0.9897160056854603,0.010283994314539746,584,76,1755,0.04941991439513404,60.80821917808219,18.0,1522,6065,0.9865124760448408,356.8125
253,1400,0.0001,4,,0.02169380005216226,35881,0.9830272288955157,0.016972771104484252,552,76,1755,0.04975618053980495,63.89855072463768,19.5,1458,5859,0.9847439125225579,356.8203125
221,1000,2e-05,4,,0.01844600000185892,35881,1.0,0.0,547,74,2675,0.07455199130459017,65.59597806215722,14.0,1395,5741,0.9841840063515098,357.44921875
219,1000,1e-05,4,,0.019003699999302626,35881,1.0,0.0,547,74,2675,0.07455199130459017,65.59597806215722,14.0,1395,5741,0.9841571370189187,357.33203125
217,1000,5e-06,4,,0.026228100003208965,35881,1.0,0.0,547,74,2675,0.07455199130459017,65.59597806215722,14.0,1395,5741,0.9838117133240636,356.8203125
244,1400,1e-05,8,,0.02032599999802187,35881,1.0,0.0,539,74,2736,0.07625205540536774,66.569573283859,14.0,1377,5694,0.9837535347167371,357.89453125
246,1400,2e-05,8,,0.0205024000024423,35881,1.0,0.0,539,74,2736,0.07625205540536774,66.569573283859,14.0,1377,5694,0.9837450640886863,357.90234375
242,1400,5e-06,8,,0.024752700002864003,35881,1.0,0.0,539,74,2736,0.07625205540536774,66.569573283859,14.0,1377,5694,0.9835418487488935,357.84375
225,1000,5e-05,4,,0.01840569998603314,35881,0.9971015300576908,0.0028984699423092453,509,77,2675,0.0747687061519971,70.28880157170923,18.0,1358,5673,0.9834179886441036,356.66796875
223,1000,3e-05,4,,0.021173899993300438,35881,0.9971015300576908,0.0028984699423092453,509,77,2675,0.0747687061519971,70.28880157170923,18.0,1358,5673,0.983284898179179,356.40234375
250,1400,5e-05,8,,0.02123450004728511,35881,0.9960703436359076,0.003929656364092371,508,75,2733,0.07646894236149972,70.35433070866142,17.0,1292,5583,0.9826841488522284,353.4921875
248,1400,3e-05,8,,0.02398709999397397,35881,0.9960703436359076,0.003929656364092371,508,75,2733,0.07646894236149972,70.35433070866142,17.0,1292,5583,0.9825525375646476,353.375
197,800,2e-05,4,,0.01784129999577999,35881,1.0,0.0,461,71,3015,0.08402775842367827,77.83297180043384,14.0,1244,5546,0.9823180199370951,357.21875
195,800,1e-05,4,,0.01912599999923259,35881,1.0,0.0,461,71,3015,0.08402775842367827,77.83297180043384,14.0,1244,5546,0.9822560952559151,357.21875
193,800,5e-06,4,,0.02162529999623075,35881,1.0,0.0,461,71,3015,0.08402775842367827,77.83297180043384,14.0,1244,5546,0.982136071041507,357.23828125
227,1000,8e-05,4,,0.018045500037260354,35881,0.9921406872718151,0.007859312728184853,476,77,2675,0.07514256018427484,74.78781512605042,21.0,1309,5530,0.9821203781740095,356.9375
222,1000,2e-05,8,,0.020776300050783902,35881,1.0,0.0,449,70,3080,0.08583930213762159,79.91314031180401,14.0,1180,5425,0.9818144680194748,357.43359375
173,500,2e-05,4,,0.017585800029337406,35881,1.0,0.0,355,63,3109,0.08664752933307321,101.07323943661972,15.0,939,4925,0.9818063999199623,357.0390625
218,1000,5e-06,8,,0.02122559997951612,35881,1.0,0.0,449,70,3080,0.08583930213762159,79.91314031180401,14.0,1180,5425,0.9817929176816447,357.09765625
