source_port,target_port,transition_count,unique_vessels
13,15,8,2
15,13,8,2
18,17,7,1
22,8,6,2
17,18,6,1
8,22,6,2
10,2,6,1
2,10,5,1
2,20,5,1
6,34,5,1
24,36,5,1
36,24,4,1
22,47,4,1
20,2,4,1
13,22,4,1
29,41,4,1
29,43,4,1
22,13,4,1
43,24,4,1
62,11,4,1
11,62,3,1
40,27,3,1
47,22,3,1
61,54,3,1
58,42,3,1
41,29,3,1
20,10,3,1
54,61,2,1
17,22,2,1
17,31,2,1
22,15,2,1
18,62,2,1
17,49,2,1
15,22,2,1
17,28,2,1
58,31,2,1
42,58,2,1
42,31,2,1
31,58,2,1
31,42,2,1
29,6,2,1
22,17,2,1
34,29,2,1
10,20,2,1
22,2,2,1
34,6,2,1
24,29,2,1
27,40,2,1
2,8,1,1
4,5,1,1
18,5,1,1
8,17,1,1
8,49,1,1
5,4,1,1
2,22,1,1
17,8,1,1
24,43,1,1
28,17,1,1
35,61,1,1
31,17,1,1
43,29,1,1
49,8,1,1
49,9,1,1
54,35,1,1
49,17,1,1
62,18,1,1
