port_id,lat,lon,area_deg2,stationary_points
56,41.42196416666667,-88.19190916666665,2.0000000005591119e-10,6
14,41.513692472984,-88.08921280964267,8.020000000067762e-08,11
4,41.49887458312316,-81.70666892920102,0.0002798234500000356,74
7,41.90680853801169,-80.79462596491227,2.8500000001039554e-09,24
31,42.88433158052646,-79.24843459828948,4.610699999967907e-06,47
5,46.75763026421701,-92.11242968105083,0.0005053093499999703,108
19,43.27382843438343,-79.82038473940788,0.00014883955000011062,136
6,41.66387931034483,-87.57733517241378,1.4499999998546854e-09,6
26,42.986358658685965,-82.41740665771157,6.951354999995343e-05,99
8,46.501832765434024,-84.3457097245092,4.6598050000185636e-05,60
18,41.681230059090055,-83.47873404999781,0.00017568099999994686,62
46,43.229639999999996,-86.333575,2.0000000005591119e-10,34
29,43.017791603171894,-87.90965677929482,0.00019331905000008722,88
63,41.64197968253968,-87.58621523809525,4.200000000499119e-09,41
58,43.2982080320366,-79.80270003813882,2.1850000003568074e-08,34
40,45.06727515151515,-83.40694666666667,5.499999997451937e-10,6
44,42.959500000000006,-82.357405,2.0000000005591119e-10,32
36,41.64625236488326,-87.47121178786496,2.3323350000053442e-05,42
37,41.88956742133713,-87.61480131161701,4.4352249999977986e-05,112
48,42.06190387096773,-90.17056516129031,6.199999999885835e-09,26
20,46.73525172497592,-91.99512957597001,8.929399999979986e-06,17
17,42.29660831837796,-83.10462799750105,0.003027936950000026,76
22,42.94816292725659,-82.43099741607497,3.822350000043384e-06,55
11,41.91136666666667,-82.89172333333335,2.0000000005591119e-10,4
28,43.619303973830675,-83.84281523964432,2.3054999999025294e-07,30
61,41.507969354838714,-82.59055370967742,1.2400000000482215e-08,7
12,46.59858371794872,-90.8790921794872,1.2999999997594615e-09,41
25,43.635808611632434,-79.36786879079447,1.465149999957849e-06,64
55,41.45452809523811,-90.78242428571428,3.4999999993797245e-10,35
62,43.74606663916631,-81.72764298125637,4.606000000092854e-07,25
39,48.40860076994004,-89.21849711733513,2.891999999890813e-07,25
30,44.76638714285714,-85.60715142857141,2.7999999996458884e-09,15
24,41.71094008874378,-87.54323077521504,2.0429600000052528e-05,37
23,47.01701069922954,-91.67542847506905,2.292999999988033e-07,43
32,41.63591549122807,-87.15887278947368,9.500000000133355e-09,27
59,42.026645,-82.60188499999998,1.9999999991380264e-10,5
13,42.72671808147255,-80.13896660670694,0.00015931254999998175,18
35,44.8339912063751,-87.38126705963171,1.819499999960647e-07,20
9,46.454150300135986,-84.56217102609192,5.601350000050356e-06,5
49,46.58016180706971,-87.38886360202623,1.5135000000466981e-07,8
3,45.324445012313795,-85.28508084405182,3.5258499999125416e-06,11
43,44.100989242424234,-87.66559272727272,1.0999999998456588e-09,11
10,46.69736018087855,-92.01865661498705,6.450000000293233e-09,14
15,42.79801455882354,-80.0434342647059,3.399999999849149e-09,17
2,46.03307237623764,-83.86054342134211,2.272499999980148e-06,22
34,43.94293589041794,-86.44512595219962,9.846500000437558e-07,16
41,45.749672132505175,-84.52994672877847,1.609999999956258e-08,5
54,45.933198435114505,-85.84911596692113,3.9300000001394224e-08,9
53,46.617290000000004,-84.67581999999999,9.960000000091418e-08,4
51,45.14784938517179,-87.36611254972874,2.7650000000215735e-08,7
27,45.78664075129534,-84.58625678756476,3.86000000014117e-08,9
42,45.99705821676119,-81.6822098361689,2.645000000069739e-08,7
47,45.64955666666666,-84.47016666666667,6.00000000025625e-10,4
