source_port,target_port,transition_count,unique_vessels
18,0,213,69
0,18,212,67
29,18,153,43
18,29,152,43
0,24,110,46
24,0,101,44
0,29,92,34
29,0,92,32
0,21,90,42
21,0,89,37
22,6,77,20
6,4,74,26
4,6,74,24
6,22,73,19
18,8,70,21
26,12,69,27
8,18,69,22
12,26,66,21
0,9,59,12
9,0,57,12
16,26,55,21
38,29,54,23
26,16,53,19
24,21,51,23
29,38,49,20
21,24,48,25
18,11,46,10
38,17,46,13
16,8,45,17
11,18,44,10
8,16,44,19
29,17,43,16
17,38,43,14
17,29,39,16
12,16,33,16
17,33,31,12
16,12,30,16
33,29,29,14
33,17,28,8
18,16,26,10
29,33,26,10
11,48,25,8
30,26,24,12
16,18,24,8
30,16,23,9
48,11,22,8
16,30,22,8
59,8,21,9
18,22,21,7
26,30,20,13
22,18,19,7
42,25,19,7
22,4,18,10
59,18,18,9
8,59,18,9
16,59,17,8
4,22,17,7
25,42,17,7
48,18,17,4
30,12,16,7
21,77,16,4
12,30,16,8
33,38,16,9
18,48,15,4
26,18,15,5
18,26,15,6
77,21,14,4
22,15,14,5
15,22,14,6
18,59,13,8
38,33,13,9
15,18,13,5
18,15,12,5
6,15,11,7
6,18,11,5
59,16,11,6
8,12,11,3
19,15,10,3
15,19,10,2
29,50,10,6
21,18,10,6
50,29,9,4
12,8,9,3
18,6,9,5
15,6,9,5
8,30,9,7
0,36,9,3
36,0,9,3
29,21,9,3
30,8,8,5
29,24,8,2
24,18,8,5
21,13,8,5
50,38,8,4
59,30,8,4
8,0,8,4
77,13,8,3
69,27,8,1
74,3,7,2
13,21,7,4
0,8,7,4
21,29,7,4
48,91,7,2
54,45,7,1
27,69,7,1
30,59,7,3
25,3,7,5
18,24,6,3
13,77,6,3
17,50,6,4
26,8,6,4
38,50,6,3
0,59,6,2
50,17,6,4
45,54,6,1
8,26,6,4
12,18,6,4
8,29,6,2
16,0,5,4
26,59,5,3
31,21,5,3
112,28,5,1
0,16,5,5
18,50,5,3
24,29,5,2
28,112,5,1
18,21,5,4
59,26,5,2
3,74,5,2
91,48,5,2
18,12,5,3
22,29,5,2
25,45,4,3
55,37,4,1
18,39,4,2
0,17,4,2
29,22,4,2
59,0,4,2
17,42,4,2
79,18,4,1
77,31,4,2
3,25,4,3
29,8,4,2
0,72,4,1
45,25,4,4
44,55,4,1
79,55,3,1
81,34,3,1
37,55,3,1
100,58,3,1
0,38,3,3
18,38,3,1
55,44,3,1
53,82,3,1
56,43,3,1
94,35,3,1
0,30,3,2
74,20,3,1
3,54,3,1
72,0,3,1
17,0,3,1
15,39,3,1
58,100,3,1
17,43,3,1
18,30,3,2
20,51,3,1
18,79,3,1
43,56,3,1
34,47,3,1
34,17,3,2
21,31,3,2
47,34,3,1
27,8,3,1
39,18,3,1
42,17,3,2
43,2,3,1
35,94,3,1
25,54,3,2
54,25,3,2
50,18,3,1
64,83,2,1
9,36,2,1
17,47,2,1
71,68,2,1
2,71,2,1
2,43,2,1
82,53,2,1
3,101,2,1
2,17,2,1
12,59,2,2
68,71,2,1
8,27,2,1
72,36,2,1
73,17,2,1
3,42,2,1
3,1,2,1
6,29,2,1
5,53,2,1
4,15,2,2
19,6,2,1
20,74,2,1
17,34,2,2
51,20,2,1
25,74,2,1
54,70,2,1
56,34,2,1
21,17,2,1
55,15,2,1
55,79,2,1
25,7,2,1
51,102,2,1
18,33,2,2
45,43,2,1
34,74,2,1
42,51,2,1
39,15,2,1
39,19,2,1
33,18,2,2
31,77,2,2
34,81,2,1
34,56,2,1
37,44,2,1
36,72,2,1
97,0,2,1
101,3,2,1
104,110,2,1
106,101,2,1
36,9,2,1
38,18,2,1
0,97,2,1
0,12,2,1
0,15,1,1
97,18,1,1
97,29,1,1
101,106,1,1
102,20,1,1
102,42,1,1
102,51,1,1
106,17,1,1
110,25,1,1
110,42,1,1
36,24,1,1
39,22,1,1
31,24,1,1
33,0,1,1
34,43,1,1
35,51,1,1
42,80,1,1
42,104,1,1
43,17,1,1
43,25,1,1
43,34,1,1
43,45,1,1
43,73,1,1
44,37,1,1
29,97,1,1
30,0,1,1
30,18,1,1
31,13,1,1
25,104,1,1
25,106,1,1
26,0,1,1
47,17,1,1
49,53,1,1
50,0,1,1
50,33,1,1
51,35,1,1
51,80,1,1
24,31,1,1
24,33,1,1
24,36,1,1
24,59,1,1
24,97,1,1
25,1,1,1
25,17,1,1
25,65,1,1
22,19,1,1
23,64,1,1
53,42,1,1
53,81,1,1
54,20,1,1
54,74,1,1
55,18,1,1
58,81,1,1
18,55,1,1
19,22,1,1
19,39,1,1
20,34,1,1
20,81,1,1
17,53,1,1
17,73,1,1
18,17,1,1
17,2,1,1
17,21,1,1
59,12,1,1
61,3,1,1
64,3,1,1
64,23,1,1
65,25,1,1
68,2,1,1
13,31,1,1
15,0,1,1
15,4,1,1
15,55,1,1
15,79,1,1
12,0,1,1
3,106,1,1
4,18,1,1
5,82,1,1
6,19,1,1
7,25,1,1
70,3,1,1
70,25,1,1
70,54,1,1
71,2,1,1
71,5,1,1
73,43,1,1
74,25,1,1
74,34,1,1
1,45,1,1
1,61,1,1
2,68,1,1
2,73,1,1
3,64,1,1
3,70,1,1
3,102,1,1
78,3,1,1
80,42,1,1
80,78,1,1
81,5,1,1
81,54,1,1
81,100,1,1
82,5,1,1
82,49,1,1
83,64,1,1
91,11,1,1
