trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
1,20,5e-06,4,,1.918603300000541,2478,1.0,0.0,29,6,545,0.21993543179983857,85.44827586206897,35.0,34,93,0.7780141935191665,281.515625
2,20,5e-06,8,,0.026375999965239316,2478,1.0,0.0,17,5,1113,0.4491525423728814,145.76470588235293,49.0,21,65,0.7587208509805958,281.7421875
3,20,1e-05,4,,0.032906000036746264,2478,1.0,0.0,29,6,545,0.21993543179983857,85.44827586206897,35.0,34,93,0.8092898269415885,281.76171875
4,20,1e-05,8,,0.032022500003222376,2478,1.0,0.0,17,5,1113,0.4491525423728814,145.76470588235293,49.0,21,65,0.7584543163247441,281.76953125
5,20,2e-05,4,,0.044952599972020835,2478,1.0,0.0,29,6,545,0.21993543179983857,85.44827586206897,35.0,34,93,0.8087317718164597,281.76953125
6,20,2e-05,8,,0.07701250002719462,2478,1.0,0.0,17,5,1113,0.4491525423728814,145.76470588235293,49.0,21,65,0.7564304767308914,281.76953125
7,20,3e-05,4,,0.034378400014247745,2478,1.0,0.0,29,6,545,0.21993543179983857,85.44827586206897,35.0,34,93,0.8092209211758563,281.76953125
8,20,3e-05,8,,0.0865079999784939,2478,1.0,0.0,17,5,1113,0.4491525423728814,145.76470588235293,49.0,21,65,0.7560247494896345,281.76953125
9,20,5e-05,4,,0.03156400000443682,2478,1.0,0.0,29,6,545,0.21993543179983857,85.44827586206897,35.0,34,93,0.809352801561202,281.77734375
10,20,5e-05,8,,0.02462430001469329,2478,1.0,0.0,17,5,1113,0.4491525423728814,145.76470588235293,49.0,21,65,0.7588041344066158,281.77734375
11,20,8e-05,4,,0.03664579999167472,2478,1.0,0.0,29,6,545,0.21993543179983857,85.44827586206897,35.0,34,93,0.8091151935921785,281.77734375
12,20,8e-05,8,,0.032440499984659255,2478,1.0,0.0,17,5,1113,0.4491525423728814,145.76470588235293,49.0,21,65,0.7584347011550993,281.78515625
13,20,0.0001,4,,0.031384000030811876,2478,1.0,0.0,29,6,545,0.21993543179983857,85.44827586206897,35.0,34,93,0.8093612606946917,281.78515625
14,20,0.0001,8,,0.038350799994077533,2478,1.0,0.0,17,5,1113,0.4491525423728814,145.76470588235293,49.0,21,65,0.7581590432848421,281.78515625
15,20,0.00015,4,,0.03047240001615137,2478,1.0,0.0,29,6,545,0.21993543179983857,85.44827586206897,35.0,34,93,0.8094041468953992,281.78515625
16,20,0.00015,8,,0.02622170001268387,2478,1.0,0.0,17,5,1113,0.4491525423728814,145.76470588235293,49.0,21,65,0.7587281756514678,281.78515625
17,20,0.0002,4,,0.03488029999425635,2478,1.0,0.0,29,6,545,0.21993543179983857,85.44827586206897,35.0,34,93,0.8091974779365968,281.78515625
18,20,0.0002,8,,0.024143400019966066,2478,1.0,0.0,17,5,1113,0.4491525423728814,145.76470588235293,49.0,21,65,0.7588270483246198,281.7890625
19,20,0.0003,4,,0.03611260000616312,2478,1.0,0.0,29,6,545,0.21993543179983857,85.44827586206897,35.0,34,93,0.809140014792848,281.7890625
20,20,0.0003,8,,0.03318820003187284,2478,1.0,0.0,17,5,1113,0.4491525423728814,145.76470588235293,49.0,21,65,0.7583996539861249,281.7890625
21,20,0.0005,4,,0.032058099983260036,2478,0.9979822437449556,0.0020177562550444117,29,6,544,0.21997573797007683,85.27586206896552,35.0,37,84,0.8088170961061634,281.8203125
