source_port,target_port,transition_count,unique_vessels
1,28,26,6
1,20,26,7
28,1,26,6
41,51,25,5
51,41,24,5
33,1,22,10
116,15,21,6
15,116,19,7
20,1,18,6
1,33,18,8
51,96,16,4
96,51,15,4
1,79,14,3
15,1,13,8
1,15,13,7
1,24,12,4
108,260,12,1
33,65,11,5
33,15,11,8
21,15,11,4
65,33,11,5
15,33,11,7
260,108,11,1
79,1,10,3
108,149,10,1
0,27,10,1
125,24,10,3
24,125,10,3
51,8,10,1
27,0,10,1
65,1,10,4
251,1,10,2
1,65,10,4
24,1,10,4
149,108,9,1
248,60,9,1
65,31,9,3
33,101,9,3
8,51,9,1
101,33,9,3
15,21,9,3
60,248,9,1
33,116,9,4
167,1,9,2
1,251,9,2
128,42,8,2
38,242,8,1
42,128,8,2
31,65,8,2
91,74,8,1
115,8,7,1
15,10,7,3
74,91,7,1
2,1,7,2
127,65,7,1
138,25,7,2
8,115,7,1
1,151,7,3
1,167,7,2
139,27,7,2
199,23,7,1
65,127,7,1
242,38,7,1
27,139,7,2
27,47,7,2
39,51,7,1
38,136,7,1
25,138,7,2
42,51,7,1
51,39,7,1
44,52,7,1
51,42,7,1
22,1,6,2
51,128,6,1
52,44,6,1
23,199,6,1
57,23,6,1
1,72,6,1
118,178,6,1
91,21,6,1
10,15,6,3
1,158,6,2
178,118,6,1
128,51,6,1
128,10,6,1
10,128,6,1
78,27,6,1
70,1,6,3
116,33,6,2
88,32,6,1
72,70,6,1
72,1,6,1
47,27,6,2
22,38,6,1
27,78,6,1
241,202,6,1
241,194,6,2
38,22,6,1
23,57,6,1
32,88,6,1
65,241,5,2
117,15,5,2
183,12,5,1
194,241,5,2
212,79,5,1
136,38,5,1
153,33,5,1
151,1,5,2
140,51,5,1
158,1,5,2
70,72,5,1
89,124,5,1
83,123,5,1
79,212,5,1
123,83,5,1
116,91,5,1
12,21,5,2
59,22,5,2
65,59,5,2
21,91,5,1
51,140,5,1
33,153,5,1
1,2,5,2
241,123,5,4
1,70,5,3
200,65,4,1
1,225,4,1
27,177,4,2
28,241,4,2
1,226,4,1
199,18,4,1
38,59,4,2
24,101,4,1
177,27,4,2
59,38,4,2
59,65,4,1
61,125,4,1
62,81,4,1
159,70,4,1
160,108,4,1
22,123,4,1
22,59,4,2
21,12,4,1
15,113,4,1
65,22,4,1
65,124,4,2
65,200,4,1
22,9,4,1
108,160,4,1
108,103,4,1
18,199,4,1
82,116,4,2
15,259,4,1
12,97,4,1
101,24,4,1
103,108,4,1
225,1,4,1
259,15,4,1
226,1,4,1
1,22,4,1
123,22,4,1
125,61,4,1
124,65,4,2
113,15,4,1
87,1,4,1
70,229,4,1
15,117,4,2
79,87,4,1
133,79,4,1
95,1,4,1
51,65,3,1
175,51,3,1
22,30,3,1
157,27,3,1
175,128,3,1
124,89,3,1
101,124,3,2
97,183,3,1
11,21,3,1
11,12,3,2
65,116,3,1
64,177,3,1
81,62,3,1
10,41,3,1
91,39,3,2
51,175,3,1
59,151,3,1
173,77,3,1
43,1,3,1
195,151,3,1
28,195,3,1
241,65,3,2
33,124,3,1
33,232,3,1
193,15,3,1
195,28,3,1
172,12,3,1
23,108,3,1
34,150,3,1
41,10,3,1
177,64,3,1
188,10,3,2
34,198,3,1
21,11,3,2
22,65,3,1
116,237,3,1
116,82,3,2
201,125,3,1
27,157,3,1
30,22,3,1
1,239,3,1
202,241,3,1
239,1,3,1
123,65,3,1
116,65,3,1
9,59,3,1
9,22,3,1
130,91,3,1
91,116,3,1
123,241,3,3
229,72,3,1
237,116,3,1
1,43,3,1
241,128,3,1
27,21,3,1
237,33,3,1
12,183,3,1
124,33,3,1
113,10,3,1
116,1,3,2
21,27,3,1
21,65,3,1
70,159,3,1
151,195,3,1
74,63,3,1
15,193,3,1
79,133,3,1
65,89,3,1
1,95,3,1
59,241,2,1
160,1,2,1
160,15,2,2
161,33,2,1
63,74,2,1
200,85,2,1
201,1,2,1
199,108,2,1
198,34,2,1
1,256,2,1
33,34,2,1
202,28,2,1
174,101,2,1
59,9,2,1
24,116,2,1
51,33,2,2
20,70,2,1
24,59,2,1
27,15,2,1
21,10,2,1
20,167,2,1
180,251,2,1
181,128,2,1
185,1,2,1
194,59,2,1
33,237,2,1
34,1,2,1
33,161,2,1
1,160,2,1
34,22,2,1
34,65,2,1
22,241,2,2
39,91,2,1
38,228,2,1
38,1,2,1
1,201,2,1
27,129,2,2
22,34,2,1
59,24,2,1
128,181,2,1
136,7,2,1
9,30,2,1
93,34,2,1
97,12,2,1
91,108,2,1
91,130,2,1
85,200,2,1
10,21,2,1
87,79,2,1
77,173,2,1
79,22,2,1
15,237,2,1
15,160,2,1
65,21,2,1
65,51,2,1
65,70,2,1
65,123,2,1
15,27,2,1
15,51,2,1
15,105,2,1
15,82,2,1
72,229,2,1
15,12,2,1
151,59,2,1
150,34,2,1
148,241,2,2
137,172,2,1
10,113,2,1
10,68,2,1
68,10,2,1
129,27,2,2
1,257,2,1
125,201,2,1
114,94,2,1
110,12,2,1
12,11,2,2
12,110,2,1
10,160,2,1
108,199,2,1
128,175,2,1
10,188,2,2
108,23,2,1
105,15,2,1
12,172,2,1
116,24,2,1
124,101,2,2
229,70,2,1
228,38,2,1
122,11,2,1
123,148,2,1
123,194,2,1
232,33,2,1
217,211,2,1
251,180,2,1
256,1,2,1
257,1,2,1
211,1,2,1
251,70,2,1
241,148,2,2
1,87,2,1
1,38,2,1
1,34,1,1
243,43,1,1
251,28,1,1
210,1,1,1
211,217,1,1
226,185,1,1
233,22,1,1
237,15,1,1
122,236,1,1
126,146,1,1
12,15,1,1
12,137,1,1
110,11,1,1
113,1,1,1
108,91,1,1
11,15,1,1
11,110,1,1
128,1,1,1
128,20,1,1
128,28,1,1
128,241,1,1
7,38,1,1
7,136,1,1
89,65,1,1
91,33,1,1
91,51,1,1
92,33,1,1
93,123,1,1
94,114,1,1
95,28,1,1
97,1,1,1
97,39,1,1
82,15,1,1
83,241,1,1
10,1,1,1
10,29,1,1
146,126,1,1
148,65,1,1
148,93,1,1
150,33,1,1
151,2,1,1
70,20,1,1
70,33,1,1
70,65,1,1
70,180,1,1
70,251,1,1
64,27,1,1
65,34,1,1
65,37,1,1
65,39,1,1
65,175,1,1
21,122,1,1
59,34,1,1
59,194,1,1
151,211,1,1
160,10,1,1
172,137,1,1
175,65,1,1
51,15,1,1
20,128,1,1
37,33,1,1
37,65,1,1
38,9,1,1
43,243,1,1
183,97,1,1
194,123,1,1
1,97,1,1
1,113,1,1
1,116,1,1
1,128,1,1
1,185,1,1
33,70,1,1
33,91,1,1
33,92,1,1
33,118,1,1
33,150,1,1
33,174,1,1
34,29,1,1
34,33,1,1
34,93,1,1
27,64,1,1
28,95,1,1
28,251,1,1
29,10,1,1
29,34,1,1
30,9,1,1
33,20,1,1
33,37,1,1
33,51,1,1
1,211,1,1
241,22,1,1
241,59,1,1
1,10,1,1
241,83,1,1
